tw_id,text,location,long,lat
972580337216729088,lmao my fever keeps increasing by the minute and I'm still studying for bio with a 102.2 fever I LOVE COLLEGE,UC Merced,,
972578561595883520,"RT @YGfernandeez: If y?all saw any Little Mexican cousins or siblings running around with a grill like this , just know :
baby fever flying?",,,
972578222062780417,"I?m also proud you resisted using the phrase ?jungle fever?. Great ep!
#GrownIsh https://t.co/i10ujUcaRZ","San Francisco, CA",,
972566551923699713,Now playing Fever by The Cristeas!,"San Francisco, CA U.S.A.",,
972566240525918208,"If y?all saw any Little Mexican cousins or siblings running around with a grill like this , just know :
baby fever? https://t.co/OkfCM3YBDH","Modesto, CA",,
972560866183757824,My closer called out and I?m 99.9% I have a fever ??,"Aptos, CA",,
972560829265600512,I swear I been getting baby fever lately even in Hawaii?? https://t.co/18sos9kIRv,,,
972546703113900032,High fever flu 5 days before a paper deadline. Perfect timing!,"Santa Cruz, CA",,
972526918246518785,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/PQRLTHWrhp","San Francisco, CA",,
972522654174363649,I hope Pressure Cracks is more lit than The Fever 333,"Sacramento, CA",,
972521908829851649,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",Washington DC,,
972505632115851264,@SimGuruGraham Are there steps that I can take to ensure that a Sim gets Rabid Rodent Fever? #ForScience,"San Francisco, CA",,
972499957449220096,I got a fever and I?m sick as hell ?,somewhere you're not.,,
972497947819524097,RT @CoastsideSlack: We ditched The Coastside last weekend for a taste of spring on Fresno County's Blossom Trail. Wow! Pics and info in our?,"California, USA",,
972496701066944513,"RT @KPbewelldoc: ??#Influenza B is still hitting hard especially #school-age #kids.
Keep them at home till 24 hrs after they no longer have?","Long Beach, CA",,
972495855998533633,"@PhizLair I wore out Red Light Fever, Why Can?t I and Extraordinary. Made my commute bearable that year.",,,
972491371176189953,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972490412500819968,RT @CoastsideSlack: We ditched The Coastside last weekend for a taste of spring on Fresno County's Blossom Trail. Wow! Pics and info in our?,"Montara, CA",,
972489783040663552,We ditched The Coastside last weekend for a taste of spring on Fresno County's Blossom Trail. Wow! Pics and info in? https://t.co/ADsoA4xFnO,"Montara, CA",,
972479817810698242,RT @FashionIDCo: We've got Spring Fever ?? Share your #springstyle with our squad on the app &amp; check out more #outfitideas ?https://t.co/X2?,London UK,,
972478868954198016,We've got Spring Fever ?? Share your #springstyle with our squad on the app &amp; check out more #outfitideas ?? https://t.co/WuomipVbbZ,San Francisco,,
972453510909448192,Slushy Coating This Weekend ? Spring Fever Watch Next Week https://t.co/NV3o6SOjtS #Oakland,Oakland,,
972445849266487296,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972431145148276736,Disease outbreak news from the WHO: https://t.co/7EaqaANp1g,"San Francisco, CA",,
972421760581820416,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",Meridian World School,,
972417761619169280,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?","London, England",,
972417720259035136,"One thought: some of this preposterous ?scholarship? is decades old. I was aware of it in grad school, in the 1990s? https://t.co/ZTY0WcjXRR","El Cerrito, CA & SLC, UT",,
972416760275075077,"#MONSTASQUADD Black Milk Breaks Out His ""Fever"" LP https://t.co/IojOZJdq6u https://t.co/PLDkq5wtEZ",Sacramento California,,
972405282319060992,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?","New York, USA",,
972404877627240449,Thank god my friends got babies... helps me out with my baby fever ?????,"Oakland, CA",,
972395474710867968,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/RMd0fS8YiS","San Francisco, CA",,
972393044145328130,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Bucharest, Romania",,
972383848171413504,"I?ve noticed the patagonia fever for a while, it?s interesting someone wrote a big article, or it?s just marketing? https://t.co/k1pwnBaam0","San Francisco, CA",,
972377899792609280,RT @VuduFans: Pitches be crazy. But they sound aca-awesome. https://t.co/uDktUsekyo Watch @PitchPerfect 3 on #Vudu today! https://t.co/5Cu5?,,,
972376800197165056,@momguts He is the cutest thing ? giving me baby fever,"San Francisco, CA",,
972375518690525184,I have #noshelfcontrol! I?m reading books by @BetteLeeCrosby @sarabooks @KristinKaye @roznay1 &amp; more along with? https://t.co/y3ZvvVUjLQ,Roseville,,
972372698218319872,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?","Rimini, Emilia Romagna",,
972371203385016320,teenage fever 4ever playing in my head,"Sacramento, CA",,
972369871861293056,I miss you too ? Hope this fever goes away soon ? https://t.co/AleWzgom6T,"San Jose, CA",,
972369560094453760,I am sick ass hell about to go into work to work on this project with Taiwan... fuck me right now. I got a fever with bad body aches,"San Jose, CA",,
972369171374923776,"Ran 4.17 miles with Nike? Run Club                 
Night fever, night fever
We know how to do? https://t.co/p6JzQeNVc6","San Francisco, CA",,
972361726774538240,@christibauerlee @REALStaceyDash You've had a fever for 3 weeks? Maybe it's not the flu.,"Oakland, CA",,
972358064924917761,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","London, England",,
972355907366432768,Baby fever really be killing me,"Los Banos, CA",,
972353894880755713,Catch me having a fever but you won?t catch me skipping my 7 step nighttime skincare routine,San Francisco,,
972352684828209152,I have #noshelfcontrol! I?m reading books by @BetteLeeCrosby @sarabooks @KristinKaye @roznay1 &amp; more along with? https://t.co/LDqlHEGXlf,"Berkeley, CA",,
972341541300854784,"RT @bfavat: #BCEagles fan fever dream is Penn failing to win the Ivy League Tournament, grabbing the last NIT AQ and pushing BC out of the?","Boston, MA",,
972340723721875456,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?","Omaha",,
972338260952281088,This fever is going to ruin my GPA,"Oakland, CA",,
