tw_id,text,location,long,lat
972652091528409089,"Beware of Crypto Virus. If you are already infected, please follow the suggestion from the post. https://t.co/izkqn184o5","San Francisco, CA",,
972619417233379328,"RT @nurxapp: ?Each year, more than 40,000 Americans are infected with HIV. Truvada for PrEP can significantly reduce the chances of transmi?","Washington, DC",,
972610952062529536,"RT @nurxapp: ?Each year, more than 40,000 Americans are infected with HIV. Truvada for PrEP can significantly reduce the chances of transmi?",,,
972609574917177345,"RT @nurxapp: ?Each year, more than 40,000 Americans are infected with HIV. Truvada for PrEP can significantly reduce the chances of transmi?","Temecula, CA",,
972608132701736960,"?Each year, more than 40,000 Americans are infected with HIV. Truvada for PrEP can significantly reduce the chances? https://t.co/UCQvyUx5NA","San Francisco, CA",,
972604861270310912,RT @TronNews_: $TRX is on the path to success! Test net in 21 days! #TRX #TRON,"California, USA",,
972586098802085890,@Brandoncodyreal 1/2 I can?t believe your are calling someone out for asking if you are clean and saying what you d? https://t.co/2rwRTSpcps,,,
972580041753333762,"RT @verokiermer: At 5-year strong, @ORCID_Org looks ahead https://t.co/8pM1DW549I",,,
972564997623730176,"Avast pro antivirus 2. Review  comparisonby kevin R. Smith, co- editor. Virus  spyware protection: 8. Avast perform? https://t.co/1XpjvyOW4D","San Francisco, California",,
972559783764156418,CDC Admits 98 Million Americans Received Polio Vaccine In An 8-Year Span When It Was Contaminated With Cancer... https://t.co/BSkUoITPds,"Sunnyvale, CA, USA",,
972559759885955074,"Adobe flash player is the high performance, lightweight, highly expressive client runtime that delivers powerful an? https://t.co/KjdyVn7IQa","San Francisco, California",,
972555486573875200,"WARNING : Don't fall for this! A legitimate-sounding scam that starts out with a ""virus"" on your computer introduc? https://t.co/Lnf9I7WRWW","San Jose, CA",,
972551696818712576,"Wow, totally! Each one is also responsible for paving the way for Trumpism as well. This virus needs to stop evolvi? https://t.co/pmpz6aY01Q","Sacramento, CA",,
972546624307130368,@simroux_virus Whooooa you are spot on! Those are precisely the types of questions I am working on now!,"San Francisco, CA",,
972544419453792256,We saved the world from the deadly Pandemic Zero virus! Some pretty neat tech! https://t.co/Uw6QWyj79L,"San Francisco, CA",,
972543392898002944,Police Warn of Apple Virus Protection Scam https://t.co/TW3nn0YpfF https://t.co/aZs2kyxuwl,"Sacramento, CA",,
972539207116820480,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",,,
972538721697398785,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972537067577233409,"Couple this with a rise of HIV-phobic authoritarian leaders around the world, and the world of 1985 isn't that... https://t.co/MqE7EeGs4E","Guerneville, CA",,
972533529266540544,"Once started, it have encrypted your personal files stored on a computer drives and attached network drives. WanaDe? https://t.co/ox4tWYbvw2","San Francisco, California",,
972532769585643520,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",-,,
